,nombreh_id,comentario,fechac
0,One luxurious suite pool P24 park carolina,"Nice location, good communication, easy check-in. Kitchen could have better implementation (eg. Toaster, electric kettle). Overall good experience!",2022-10-01
1,One luxurious suite pool P24 park carolina,Great place. Excellent location and gorgeous view.,2022-08-01
2,One luxurious suite pool P24 park carolina,"We really liked our stay. In the building there are a lot of community amenities that we enjoyed, the place is clean and the neighbors are really kind. I definitely recommend it.",2022-07-01
3,One luxurious suite pool P24 park carolina,Bien,2022-06-01
4,One luxurious suite pool P24 park carolina,"An excellent place and location, I will definitely return.",2022-10-01
5,One luxurious suite pool P24 park carolina,"Everything was great, in every way inside Pablo's apartment. Except the building's pool had green mold, dirty mold, etc.",2022-10-01
6,One luxurious suite pool P24 park carolina,"Excellent location, small suite but with everything you need, lots of natural light and the best building",2022-09-01
7,One luxurious suite pool P24 park carolina,Very good service. Modern place.,2022-09-01
8,One luxurious suite pool P24 park carolina,"Excellent place, very well located and with enough security",2022-08-01
9,One luxurious suite pool P24 park carolina,"Excellent host, very nice apartment and my good service",2022-08-01
10,One luxurious suite pool P24 park carolina,Amazing,2022-07-01
11,One luxurious suite pool P24 park carolina,"Excellent place, delivers on everything promised and excellent communication from PabloRecommended !",2022-07-01
12,Naia P7 pool suite luxury portugal rep Salvador,It was a comfortable stay and at an excellent location especially for those planning on visiting Quito for work.,2022-10-01
13,Naia P7 pool suite luxury portugal rep Salvador,"Excellent location, nice apartment, safe area, great overall stay!",2022-08-01
14,Naia P7 pool suite luxury portugal rep Salvador,"My b/f and I stayed for 2.5 days after visiting the Galapagos islands. For the price of the apt, it was a good deal - clean, good wifi, and in a great location. However, it's a little bare bones, i.e. no paper towels, limited toilet paper, and no potable drinking water, etc. so for a longer stay you will probably want to head over to Mega Maxi (close by) to buy some essentials. We didn't use the common areas in the building but the doormen were always pleasant and helpful.",2022-07-01
15,Naia P7 pool suite luxury portugal rep Salvador,Great host,2022-05-01
16,Naia P7 pool suite luxury portugal rep Salvador,"The place is nice, great location! Pablo is gentle and reply very fast any doubt. Totally recommended",2022-04-01
17,Naia P7 pool suite luxury portugal rep Salvador,This place is really excellent!! Location and communication with the host was beyond great. Definitely will come back and recommend :),2022-03-01
18,Naia P7 pool suite luxury portugal rep Salvador,beautifull place !!!,2022-03-01
19,Naia P7 pool suite luxury portugal rep Salvador,A nice place to stay,2022-02-01
20,Naia P7 pool suite luxury portugal rep Salvador,"Ubicación perfecta, great restaurants and shopping areas, super clean and lovely part of the city.",2022-02-01
21,Naia P7 pool suite luxury portugal rep Salvador,"Perfect location, great host! Couldn’t ask for better!",2022-01-01
22,Naia P7 pool suite luxury portugal rep Salvador,.,2021-12-01
23,Naia P7 pool suite luxury portugal rep Salvador,This place is the best spot. Close to everything. Perfect for your stay. Walking distance to the mall. Mega maxi is nest door.,2021-12-01
24,Naia P7 pool suite luxury portugal rep Salvador,Great equiped place to stay. Easy to check in/out. Location is great!,2021-12-01
25,Naia P7 pool suite luxury portugal rep Salvador,Fantastic place,2021-11-01
26,Luxury Suit Quito😎18th floor view terrace 360🤳and🏊‍♀️,"The apartment is beautiful and the location is very walkable to the park, restaurants, and a bunch of stuff. It’s very comfortable for a short stay. I would recommend bringing ear plugs if you’re a light sleeper — the street noise is very loud, even up on the 18th floor.",2022-09-01
27,Luxury Suit Quito😎18th floor view terrace 360🤳and🏊‍♀️,"The host was very responsive, we liked the place. my nephew really liked the gaming area and pool was great!",2022-08-01
28,Luxury Suit Quito😎18th floor view terrace 360🤳and🏊‍♀️,"This space was like a beautiful boutique studio with amazing views. We are on an 8 day trip and kicked off the first two days in Veronica’s space. I have two small kids and wasn’t sure if this space could accommodate, it surely did. I would come back here again. We also left behind important documents and Veronica informed us right away.",2022-08-01
29,Luxury Suit Quito😎18th floor view terrace 360🤳and🏊‍♀️,"Really comfy apartment, great views from the 18th floor, had everything we needed for our 1 night stay but would have happily stayed longer. Easy check in. Would stay again :)",2022-07-01
30,Luxury Suit Quito😎18th floor view terrace 360🤳and🏊‍♀️,"Perfect location, convenient, quiet. Great host.",2022-07-01
31,Luxury Suit Quito😎18th floor view terrace 360🤳and🏊‍♀️,Excellent location. Building has ALL the amenities you could want. Amazing value. And the views! Highly recommended.,2022-07-01
32,Luxury Suit Quito😎18th floor view terrace 360🤳and🏊‍♀️,Verónica’s please is in a great location close to a few shopping centers and restaurants.,2022-06-01
33,Luxury Suit Quito😎18th floor view terrace 360🤳and🏊‍♀️,Excellent airbnb. The suite was very clean and decorated and had beautiful view of the Carolina Park and Quito. Hosts were very friendly too! They left coffee and eggs for us :),2022-06-01
34,Luxury Suit Quito😎18th floor view terrace 360🤳and🏊‍♀️,Loved the place! Excellent view. Super cozy. Check-in was quick and easy. Just a few steps away from the mall too. One of the best Airbnb stays I've had the pleasure of booking.,2022-06-01
35,Luxury Suit Quito😎18th floor view terrace 360🤳and🏊‍♀️,Unbelievable views of Quito. Great amenities and very clean unit. Veronica responded quickly.,2022-06-01
36,Luxury Suit Quito😎18th floor view terrace 360🤳and🏊‍♀️,"Decent listing, good amenities, great view. Downside of the beautiful view of the city was that it was incredibly noisy at night until well past midnight",2022-05-01
37,Luxury Suit Quito😎18th floor view terrace 360🤳and🏊‍♀️,"Stayed in Veronica's place twice during my travels through Ecuador and loved every minute of it! So clean, so many amenities, the perfect location.",2022-05-01
38,Luxury Suit Quito😎18th floor view terrace 360🤳and🏊‍♀️,Beautiful and modern place. I will definitely comeback to this place.,2022-05-01
39,Luxury Suit Quito😎18th floor view terrace 360🤳and🏊‍♀️,"Veronica’s apartment was absolutely perfect! The building and the apartment are both in pristine condition. I stayed here right after traveling from the Galapagos, so I was beyond excited that the shower was so nice and that there were toiletries (shampoo, conditioner, hair dryer) provided. Being able to do laundry in the building’s laundry room was also great. There is laundry detergent available at the supermaxi across the street. I also appreciated how well equipped the kitchen was, though I ended up going out for meals. The wifi was really good too. Will definitely be staying here again!",2022-05-01
40,SUITE 3: COZY 7th FLOOR SUITE IN QUITO’S HEART,Super nice and clean place. Location is perfect. Apartment is nicely equipped and washer was a big plus for us. Host answered quickly and helped with everything. Definitely recommend and we would come again if Ever going to Quito again.,2022-09-01
41,SUITE 3: COZY 7th FLOOR SUITE IN QUITO’S HEART,Location is absolutely 5 out of 5. The price is just worth the property. Highly recommended.,2022-09-01
42,SUITE 3: COZY 7th FLOOR SUITE IN QUITO’S HEART,Perfect place!,2022-09-01
43,SUITE 3: COZY 7th FLOOR SUITE IN QUITO’S HEART,"Unexpected trip and short stay but location was extremely convenient. Movie theatre down the block, supermarket across the street and a mall close by. Access to the apartment was extremely convenient especially for my arrival late in the night. Guards and reception extremely professional. 10/10 would stay again.",2022-08-01
44,SUITE 3: COZY 7th FLOOR SUITE IN QUITO’S HEART,"Great location, super good communication with Marco Antonio, highly recommended.",2022-08-01
