nombreh_id,p_comentario,p_fecha_comen,p_puntuacion,p_pais_de_origen
La Casa de Manuel Casa-Boutique,"sus espacios son hermosos, la atención es maravillosa. todo me encantó",2022-12-01,5.0,Ecuador
La Casa de Manuel Casa-Boutique,Las instalaciones y limpieza. Todo excelente.,2022-12-01,5.0,United States of America
La Casa de Manuel Casa-Boutique,"Recomendadísimo. Esta es definitivamente una perla escondida, de esas muy inusuales que no se merecen menos que una puntuación perfecta. 
La casa, habitaciones y lugares comunales son muy bonitas y acogedoras, muy buen decorado, artístico sin ser estrambótico, y el servicio (Cristhian en mi caso, más el personal de limpieza y del restaurante) fueron muy amables, eficientes y de increíble ayuda. 
La ubicación es buenísima también, cerca de todo, especialmente para alguien que no conocía la ciudad y tenía poco tiempo para explorarla. 
Mi estadía en Loja se extendió por una noche más, y fue obvio que no habría mejor lugar para hospedarme en la ciudad otra vez.",2022-12-01,5.0,Switzerland
La Casa de Manuel Casa-Boutique,"Style, ambiance, friendly host, location, pillows and cafe
Comfortable accommodation in upscale boutique hotel in Loja
",2022-11-01,5.0,United States of America
La Casa de Manuel Casa-Boutique,"Nice and artsy decoration. A lot of common space. Quiet location for good sleep and rest.
Quiet and Artsy place
 The bathroom can have more surface  for putting on personal care items. People chatting in the lobby gives a big echo and is heard in the room.",2022-11-01,4.5,United States of America
La Casa de Manuel Casa-Boutique,Exceptional,2022-10-01,5.0,Ecuador
La Casa de Manuel Casa-Boutique,"Sehr schönes Boutique-Hotel mit künstlerischen Details am Rand der Altstadt. Riesiges, sehr schön ausgestattetes Zimmer. Angenehme Korrespondenz mit dem Manager. Das Frühstück war etwas frugal. Sehr viel Straßenlärm. Ohrstöpsel auf jeden Fall notwendig.",2022-11-01,5.0,Germany
La Casa de Manuel Casa-Boutique,"El chico que atiende Christian, es un excelente anfitrión y te recomienda excelentes lugares.
Además hay hermosas obras de arte",2022-11-01,5.0,Ecuador
La Casa de Manuel Casa-Boutique,"El hotel canceló la reserva a última hora, dejándome sin hotel, a mi llegada a Loja.",2022-11-01,0.5,Ecuador
La Casa de Manuel Casa-Boutique,Exceptional,2022-11-01,5.0,Ecuador
La Casa de Manuel Casa-Boutique,Exceptional,2022-11-01,5.0,Ecuador
La Casa de Manuel Casa-Boutique,"Good location. Nice size room with a good warm shower. Good service with the owner contacting us before we stayed and helping arrange airport pick up.
Great location and friendly staff.
 Lumpy pillows and door too stiff to the bathroom so was very noisy when you closed it (not great at night). Also the bed squeaked a lot.",2022-11-01,4.0,United Kingdom
La Casa de Manuel Casa-Boutique,Wonderful,2022-11-01,4.5,Ecuador
La Casa de Manuel Casa-Boutique,Todo el lugar es hermoso y la atención muy buena,2022-10-01,5.0,Ecuador
La Casa de Manuel Casa-Boutique,Wonderful,2022-10-01,4.5,Ecuador
La Casa de Manuel Casa-Boutique,Desayuno sencillo pero está bien,2022-10-01,5.0,Ecuador
La Casa de Manuel Casa-Boutique,Wonderful,2022-09-01,4.5,Ecuador
La Casa de Manuel Casa-Boutique,hermosa,2022-08-01,5.0,Ecuador
La Casa de Manuel Casa-Boutique,Das ganze Hotel hat einen ganz besonderen Stil und ist sehr geschmackvoll eingerichtet. Die Zimmer sind wunderschön. Auf der Dachterrasse kann man den Abend schön ausklingen lassen. Das Personal ist sehr freundlich und hilfsbereit - danke Cristhian für den netten Empfang!,2022-09-01,5.0,Germany
La Casa de Manuel Casa-Boutique,Buena Ubicación para realizar movimientos en el centro de la ciudad. Buen desayuno y muy cómodas las habitaciones.,2022-09-01,4.0,Ecuador
Sonesta Hotel Loja,la atención del personal es de primera,2022-12-01,5.0,Ecuador
Sonesta Hotel Loja,que era cómodo y estaba limpio,2022-12-01,5.0,Ecuador
Sonesta Hotel Loja,Limpio y ordenado. Atención esmerada y atenta,2022-11-01,5.0,Chile
Sonesta Hotel Loja,Buen servicio,2022-11-01,5.0,Ecuador
Sonesta Hotel Loja,"El hotel hermoso, la atención del personal excelente. Comida deliciosa :) Todo muy bien",2022-11-01,5.0,Ecuador
Sonesta Hotel Loja,Exceptional,2022-11-01,5.0,Ecuador
Sonesta Hotel Loja,la atención y limpieza nada todo estuvo Perfecto,2022-11-01,5.0,Ecuador
Sonesta Hotel Loja,Exceptional,2022-11-01,5.0,Ecuador
Sonesta Hotel Loja,Exceptional,2022-11-01,5.0,Ecuador
Sonesta Hotel Loja,"Nos encantó el desayuno quedamos muy contentos , además el gimnasio súper bonito",2022-11-01,5.0,Ecuador
Sonesta Hotel Loja,Very Good,2022-10-01,4.0,Ecuador
Sonesta Hotel Loja,la atención muy buena y el desayuno parqueo muy poco espacio,2022-11-01,5.0,Ecuador
Sonesta Hotel Loja,"Buena ubicación, personal amable Me alojé en el onceavo piso, la habitación confortable pero las cortinas dejaban pasar la luz lo que resultó un poco incómodo a la hora de dormir",2022-11-01,4.5,Ecuador
Sonesta Hotel Loja,Exceptional,2022-10-01,5.0,Ecuador
Sonesta Hotel Loja,LA CALIDAD DE ATENCION DEL PERSONAL NO ME SIRVIO EL WI-FI TODA LA ESTANCIA,2022-10-01,4.5,Ecuador
Sonesta Hotel Loja,Wonderful,2022-10-01,4.5,Ecuador
Sonesta Hotel Loja,"la ubicación, las habitaciones el parqueaderos es muy pequeño, muy incómodo de parquear los vehículos",2022-10-01,4.5,Ecuador
Sonesta Hotel Loja,Exceptional,2022-10-01,5.0,Ecuador
Sonesta Hotel Loja,Exceptional,2022-10-01,5.0,Ecuador
Sonesta Hotel Loja,Exceptional,2022-09-01,5.0,Spain
Hostal Pucará,Pleasant,2022-11-01,3.0,Russia
