sitio_web,tipo,fecha_view,descripcion,nombre_id,precio,direccion,puntuacion,calficacion_tx,ciudad,n_habitaciones
https://www.booking.com/hotel/ec/la-casa-de-manuel-casa-boutique.html?label=gen173nr-1FCAQoggJCDHNlYXJjaF9xdWl0b0gzWARoQYgBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gC_pfdmgbAAgHSAiQ4YjFmZjkxZS1mNDA0LTQ2ODMtOTRhNC03NTZmMWIxOGI3YjLYAgXgAgE&aid=304142&ucfs=1&arphpl=1&checkin=2022-12-23&checkout=2022-12-24&dest_id=-930353&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=164a0143d87400b1&srepoch=1671322247&all_sr_blocks=243002005_348995134_2_1_0&highlighted_blocks=243002005_348995134_2_1_0&matching_block_id=243002005_348995134_2_1_0&sr_pri_blocks=243002005_348995134_2_1_0__5600&from_sustainable_property_sr=1&from=searchresults&map_fdco=1#hotelTmpl,hotel,2022-12-17,"You're eligible for a Genius discount at La Casa de Manuel Casa-Boutique! To save at this property, all you have to do is sign in.Located 3.7 km from Noraspamba, La Casa de Manuel Casa-Boutique has accommodations with a bar, a garden and a shared kitchen for your convenience. Complimentary WiFi is offered throughout the property.Offering a patio, some units are air-conditioned and have a dining area and a seating area with a cable flat-screen TV. Some units include a balcony and/or terrace.The bed and breakfast offers a continental or American breakfast.A bicycle rental service is available at La Casa de Manuel Casa-Boutique.Hacienda El Rosal is 3.7 km from the accommodation, while El Recreo is 3.7 km from the property. The nearest airport is Camilo Ponce Enriquez Airport, 37 km from La Casa de Manuel Casa-Boutique. ",La Casa de Manuel Casa-Boutique,56,"Sucre 14-84 Y Cariamanga, 110102 Loja, Ecuador–Excellent location – show map",4.7, Wonderful,loja,2
https://www.booking.com/hotel/ec/howard-johnson-loja.html?label=gen173nr-1FCAQoggJCDHNlYXJjaF9xdWl0b0gzWARoQYgBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gC_pfdmgbAAgHSAiQ4YjFmZjkxZS1mNDA0LTQ2ODMtOTRhNC03NTZmMWIxOGI3YjLYAgXgAgE&aid=304142&ucfs=1&arphpl=1&checkin=2022-12-23&checkout=2022-12-24&dest_id=-930353&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=164a0143d87400b1&srepoch=1671322247&all_sr_blocks=38520610_95434678_2_41_0&highlighted_blocks=38520610_95434678_2_41_0&matching_block_id=38520610_95434678_2_41_0&sr_pri_blocks=38520610_95434678_2_41_0__9200&from_sustainable_property_sr=1&from=searchresults&map_fdco=1#hotelTmpl,hotel,2022-12-17,"You're eligible for a Genius discount at Sonesta Hotel Loja! To save at this property, all you have to do is sign in.Located in Loja, 4.2 km from Las Pitas, Sonesta Hotel Loja has accommodations with a restaurant, free private parking, a bar and a terrace. Among the facilities at this property are a 24-hour front desk and room service, along with free WiFi throughout the property. The hotel has family rooms.At the hotel, all rooms include a desk, a TV, a private bathroom, bed linen and towels. The rooms have a safety deposit box and some have city views. All rooms feature a closet.Sonesta Hotel Loja offers a buffet or American breakfast.Guests can make sightseeing and ticketing arrangements at the tour desk, or conduct business at the business center.Yanacocha is 4.7 km from the accommodation, while Hacienda Amable María is 5.8 km from the property. The nearest airport is Camilo Ponce Enriquez Airport, 35.4 km from Sonesta Hotel Loja. ",Sonesta Hotel Loja,92,"Av. Zoilo Rodriguez y Antisana, 110150 Loja, Ecuador–Excellent location – show map",4.45, Excellent,loja,2
https://www.booking.com/hotel/ec/hostal-pucara-loja.html?label=gen173nr-1FCAQoggJCDHNlYXJjaF9xdWl0b0gzWARoQYgBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gC_pfdmgbAAgHSAiQ4YjFmZjkxZS1mNDA0LTQ2ODMtOTRhNC03NTZmMWIxOGI3YjLYAgXgAgE&aid=304142&ucfs=1&arphpl=1&checkin=2022-12-23&checkout=2022-12-24&dest_id=-930353&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=164a0143d87400b1&srepoch=1671322247&all_sr_blocks=163874101_265976336_2_0_0&highlighted_blocks=163874101_265976336_2_0_0&matching_block_id=163874101_265976336_2_0_0&sr_pri_blocks=163874101_265976336_2_0_0__3000&from=searchresults&map_fdco=1#hotelTmpl,hotel,2022-12-17,"You're eligible for a Genius discount at Hostal Pucará! To save at this property, all you have to do is sign in.Located in Loja, within 3.2 km of Yanacocha and 4.2 km of Noraspamba, Hostal Pucará provides accommodations with a shared lounge and free WiFi throughout the property as well as free private parking for guests who drive. The property is around 4.2 km from Hacienda El Rosal, 4.2 km from El Recreo and 5.1 km from Las Pitas. The property has a 24-hour front desk and luggage storage space for guests.Hacienda Tebaida is 5.5 km from the hotel, while Punsara is 6.1 km away. The nearest airport is Camilo Ponce Enriquez, 35.4 km from Hostal Pucará, and the property offers a paid airport shuttle service. ",Hostal Pucará,30,"Azuay 17-60 Lauro Guerrero y Avenida Manuel Agustín Aguirre, 110103 Loja, Ecuador–Great location - show map",4.1, Very Good,loja,2
https://www.booking.com/hotel/ec/carrion-loja1.html?label=gen173nr-1FCAQoggJCDHNlYXJjaF9xdWl0b0gzWARoQYgBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gC_pfdmgbAAgHSAiQ4YjFmZjkxZS1mNDA0LTQ2ODMtOTRhNC03NTZmMWIxOGI3YjLYAgXgAgE&aid=304142&ucfs=1&arphpl=1&checkin=2022-12-23&checkout=2022-12-24&dest_id=-930353&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=164a0143d87400b1&srepoch=1671322247&all_sr_blocks=736227105_331596023_2_41_0&highlighted_blocks=736227105_331596023_2_41_0&matching_block_id=736227105_331596023_2_41_0&sr_pri_blocks=736227105_331596023_2_41_0__4000&from_sustainable_property_sr=1&from=searchresults&map_fdco=1#hotelTmpl,hotel,2022-12-17,"Located in Loja, 3.1 km from Yanacocha, Hotel Carrion has accommodations with a restaurant, free private parking, a fitness center and a terrace. This 4-star hotel offers a concierge service and a tour desk. The property provides a 24-hour front desk, airport transportation, room service and free WiFi throughout the property.All rooms at the hotel come with a seating area, a flat-screen TV with cable channels and a private bathroom with a hairdryer and a shower. The rooms feature a desk.Continental and à la carte breakfast options are available every morning at Hotel Carrion.Las Pitas is 4 km from the accommodation, while Noraspamba is 4.5 km from the property. The nearest airport is Camilo Ponce Enriquez Airport, 35.4 km from Hotel Carrion. ",Hotel Carrion,40,"Colón 152-41 18 de Noviembre, 110103 Loja, Ecuador–Excellent location – show map",4.35, Excellent,loja,2
https://www.booking.com/hotel/ec/virgen-del-cisne.html?label=gen173nr-1FCAQoggJCDHNlYXJjaF9xdWl0b0gzWARoQYgBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gC_pfdmgbAAgHSAiQ4YjFmZjkxZS1mNDA0LTQ2ODMtOTRhNC03NTZmMWIxOGI3YjLYAgXgAgE&aid=304142&ucfs=1&arphpl=1&checkin=2022-12-23&checkout=2022-12-24&dest_id=-930353&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=164a0143d87400b1&srepoch=1671322247&all_sr_blocks=284027302_364477790_2_0_0&highlighted_blocks=284027302_364477790_2_0_0&matching_block_id=284027302_364477790_2_0_0&sr_pri_blocks=284027302_364477790_2_0_0__2700&from=searchresults&map_fdco=1#hotelTmpl,hotel,2022-12-17,"You're eligible for a Genius discount at Hotel Virgen del Cisne! To save at this property, all you have to do is sign in.Located in Loja, 2.7 km from Yanacocha, Hotel Virgen del Cisne provides accommodations with free WiFi and free private parking. This 3-star hotel offers a concierge service and a tour desk. The property has evening entertainment and a 24-hour front desk.Las Pitas is 3.9 km from the hotel, while Noraspamba is 4.8 km from the property. The nearest airport is Camilo Ponce Enriquez, 35.4 km from Hotel Virgen del Cisne, and the property offers a paid airport shuttle service. ",Hotel Virgen del Cisne,27,"Ramon Pinto Interseccion Colon, 110103 Loja, Ecuador–Excellent location – show map",4.35, Excellent,loja,2
https://www.booking.com/hotel/ec/grand-victoria-boutique.html?label=gen173nr-1FCAQoggJCDHNlYXJjaF9xdWl0b0gzWARoQYgBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gC_pfdmgbAAgHSAiQ4YjFmZjkxZS1mNDA0LTQ2ODMtOTRhNC03NTZmMWIxOGI3YjLYAgXgAgE&aid=304142&ucfs=1&arphpl=1&checkin=2022-12-23&checkout=2022-12-24&dest_id=-930353&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=164a0143d87400b1&srepoch=1671322247&all_sr_blocks=59228704_94228383_0_41_0&highlighted_blocks=59228704_94228383_0_41_0&matching_block_id=59228704_94228383_0_41_0&sr_pri_blocks=59228704_94228383_0_41_0__8000&from_sustainable_property_sr=1&from=searchresults&map_fdco=1#hotelTmpl,hotel,2022-12-17,"You're eligible for a Genius discount at Grand Victoria Boutique Hotel! To save at this property, all you have to do is sign in.Featuring a restaurant, a garden, an indoor swimming pool and a fitness center, Grand Victoria Boutique Hotel offers free Wi-Fi and breakfast in Loja. The cathedral is 100 m away.Providing a tranquil environment, the rooms in Grand Victoria Boutique Hotel feature private bathrooms with hot tubs and flat-screen TVs.Guests at Grand Victoria Boutique Hotel can relax at the on-site spa. Room service is available and laundry services can be arranged upon request.Grand Victoria is 3.1 mi from Loja UTPL University and 5 mi from Podocarpus National Park. Vilcabamba Valley and Camilo Ponce Enríquez Airport are 23 mi from the property. Free private parking is possible on site. ",Grand Victoria Boutique Hotel,80,"Bernardo Valdivieso entre José Antonio Eguiguren y Colón, 110101 Loja, Ecuador–Excellent location – show map",4.4, Excellent,loja,2
https://www.booking.com/hotel/ec/podocarpus.html?label=gen173nr-1FCAQoggJCDHNlYXJjaF9xdWl0b0gzWARoQYgBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gC_pfdmgbAAgHSAiQ4YjFmZjkxZS1mNDA0LTQ2ODMtOTRhNC03NTZmMWIxOGI3YjLYAgXgAgE&aid=304142&ucfs=1&arphpl=1&checkin=2022-12-23&checkout=2022-12-24&dest_id=-930353&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=164a0143d87400b1&srepoch=1671322247&all_sr_blocks=45982203_195563711_3_1_0&highlighted_blocks=45982203_195563711_3_1_0&matching_block_id=45982203_195563711_3_1_0&sr_pri_blocks=45982203_195563711_3_1_0__6000&from=searchresults&map_fdco=1#hotelTmpl,hotel,2022-12-17,"You're eligible for a Genius discount at Hotel Podocarpus! To save at this property, all you have to do is sign in.Only 100 m from the commercial and museums area, Hotel Podocarpus offers rooms with free Wi-Fi and cable TV in Loja. It features a restaurant, and free parking is provided.Fully carpeted, rooms at Hotel Podocarpus are very bright. All of them have private bathrooms.An American breakfast is served daily. Regional specialties can be ordered at the property’s restaurant.The 24-hour front desk can help guests secure airport shuttles. Hotel Podocarpus is 24 mi from Camilo Ponce Enríquez Airport. ",Hotel Podocarpus,60,"Jose Antonio Eguiguren 16-50 y 18 de Noviembre, EC110101 Loja, Ecuador–Excellent location – show map",4.15, Very Good,loja,2
https://www.booking.com/hotel/ec/romar-royal.html?label=gen173nr-1FCAQoggJCDHNlYXJjaF9xdWl0b0gzWARoQYgBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gC_pfdmgbAAgHSAiQ4YjFmZjkxZS1mNDA0LTQ2ODMtOTRhNC03NTZmMWIxOGI3YjLYAgXgAgE&aid=304142&ucfs=1&arphpl=1&checkin=2022-12-23&checkout=2022-12-24&dest_id=-930353&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=164a0143d87400b1&srepoch=1671322247&all_sr_blocks=179687602_348300217_2_1_0&highlighted_blocks=179687602_348300217_2_1_0&matching_block_id=179687602_348300217_2_1_0&sr_pri_blocks=179687602_348300217_2_1_0__6900&from=searchresults&map_fdco=1#hotelTmpl,hotel,2022-12-17,"You're eligible for a Genius discount at Oro Verde Loja! To save at this property, all you have to do is sign in.Located in Loja and with Yanacocha reachable within 1.9 miles, Oro Verde Loja provides express check-in and check-out, allergy-free rooms, a restaurant, free WiFi throughout the property and a bar. Providing a garden, the property is located within 4 km of Las Pitas. The property has a 24-hour front desk, room service and organizing tours for guests.A buffet breakfast is available daily at the hotel.Noraspamba is 4.3 km from Oro Verde Loja, while Hacienda El Rosal is 4.3 km away. The nearest airport is Camilo Ponce Enriquez Airport, 35.4 km from the accommodation. ",Oro Verde Loja,69,"José Antonio Eguiguren y 18 de Noviembre, 110108 Loja, Ecuador–Excellent location – show map",4.65, Wonderful,loja,2
https://www.booking.com/hotel/ec/departs-la-castellana.html?label=gen173nr-1FCAQoggJCDHNlYXJjaF9xdWl0b0gzWARoQYgBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gC_pfdmgbAAgHSAiQ4YjFmZjkxZS1mNDA0LTQ2ODMtOTRhNC03NTZmMWIxOGI3YjLYAgXgAgE&aid=304142&ucfs=1&arphpl=1&checkin=2022-12-23&checkout=2022-12-24&dest_id=-930353&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=164a0143d87400b1&srepoch=1671322247&all_sr_blocks=503866806_213104592_2_0_0&highlighted_blocks=503866806_213104592_2_0_0&matching_block_id=503866806_213104592_2_0_0&sr_pri_blocks=503866806_213104592_2_0_0__1785&from=searchresults&map_fdco=1#hotelTmpl,hotel,2022-12-17,"You're eligible for a Genius discount at Habitaciones Vellisimo Center! To save at this property, all you have to do is sign in.Located in Loja, Habitaciones Vellisimo Center provides accommodations 4 km from Noraspamba and 4 km from Hacienda El Rosal.Featuring free WiFi, the units have a washing machine and a flat-screen TV. There's a fully equipped private bathroom with shower and free toiletries.El Recreo is 4 km from the apartment, while Yanacocha is 4.2 km away. The nearest airport is Camilo Ponce Enriquez Airport, 35.4 km from Habitaciones Vellisimo Center. ",Habitaciones Vellisimo Center,18,"Calle Juan Jose Peña N° 215-36 entre Catacocha y Andres Bello Edificio, 110102 Loja, Ecuador–Excellent location – show map",4.35, Excellent,loja,2
https://www.booking.com/hotel/ec/confortable-mini-departamento.html?label=gen173nr-1FCAQoggJCDHNlYXJjaF9xdWl0b0gzWARoQYgBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gC_pfdmgbAAgHSAiQ4YjFmZjkxZS1mNDA0LTQ2ODMtOTRhNC03NTZmMWIxOGI3YjLYAgXgAgE&aid=304142&ucfs=1&arphpl=1&checkin=2022-12-23&checkout=2022-12-24&dest_id=-930353&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=164a0143d87400b1&srepoch=1671322247&all_sr_blocks=606478401_348237885_2_0_0&highlighted_blocks=606478401_348237885_2_0_0&matching_block_id=606478401_348237885_2_0_0&sr_pri_blocks=606478401_348237885_2_0_0__3150&from=searchresults&map_fdco=1#hotelTmpl,hotel,2022-12-17,"Featuring a terrace and a tour desk, Confortable mini departamento is well located in Loja, 3.4 km from Hacienda Tebaida and 4 km from Yanacocha. This self-catered apartment features a garden, grill facilities, free WiFi and free private parking.The apartment has 2 separate bedrooms, 1 bathroom, a fully equipped kitchen with a dining area and microwave, and a living room with a flat-screen TV.Punsara is 4 km from the apartment, while Noraspamba is 4.3 km away. The nearest airport is Camilo Ponce Enriquez, 37 km from Confortable mini departamento, and the property offers a paid airport shuttle service. ",Confortable mini departamento,32,"Ciudadela Época Calle Jamaica 390B-188, Loja, Ecuador–Great location - show map",4.55, Wonderful,loja,2
