,nombreh_id,comentario,p_puntuacion,p_fecha_comen
0,Oro Verde Loja,"Excellent Excellent hotel! Very clean, comfortable , excellent customer service and great location!",5.0,2022-08-15
1,Oro Verde Loja,"Excellent Todo estuvo bien, un par de cosas para mejorar en la variedad del desayuno y dentro de la habitación que no funcionaba la balanza. Pero tuve una estupenda estadía y con gusto regreso y la recomiendo.
MHinostroza",5.0,2022-07-25
2,Oro Verde Loja,Excellent Was nice ,5.0,2022-06-03
3,Oro Verde Loja,"Excellent Great attention. 
Ricardo and staff are on point! ",5.0,2022-05-24
4,Oro Verde Loja,Okay ,3.0,2022-04-29
5,Oro Verde Loja,Excellent Great hotel with excellent staff - centrally located ,5.0,2017-11-28
6,Oro Verde Loja,"Excellent Great hotel with excellent dining, centrally located,  is without a doubt one of the best options to stay. A true jewel where you don't expect it. ",5.0,2017-10-30
7,Oro Verde Loja,Excellent Hermoso hotel,5.0,2022-08-30
8,Oro Verde Loja,"Excellent Una grata sorpresa, supero mis expectativas. Muy buena atención del personal del hotel y del restaurante, sin lugar a duda muy recomendable.",5.0,2017-11-24
9,Oro Verde Loja,Excellent Excelente,5.0,2017-09-16
10,Grand Victoria Boutique Hotel,"Good Very good hotel, the staff very friendly and the hotel very clean ",4.0,2022-07-19
11,Grand Victoria Boutique Hotel,"Excellent The place was good, great location and very respectful for COVID times. Overall experience was great",5.0,2021-04-05
12,Grand Victoria Boutique Hotel,"Excellent The hotel is lovely but rooms are not air conditioned or heated- not even a ceiling fan. No windows to the street only windows that open towards the hallway so no ventilation. The suites do have windows to the street that will allow for ventilation. The staff went above and beyond fulfilling any and all requests. The hotel is classy in appearance and the neighborhood seemed safe. There is a pharmacy at the corner of the street next to a small bakery. I would stay again but only in a suite- the staff made up any short comings the property had. Also, if you don’t speak Spanish things may get a bit difficult but pls don’t be rude to them. See more",5.0,2021-02-18
13,Grand Victoria Boutique Hotel,Excellent ,5.0,2020-03-12
14,Grand Victoria Boutique Hotel,"Good Fabulous hotel, just wish everything wasn't closed for Carnival. First receptionist spoke some English and was very helpful. The next day the receptionist spoke no English and couldn't even tell us where there might be an open restaurant. Turns out we found a delicious restaurant right in the hotel!",4.0,2020-02-26
15,Grand Victoria Boutique Hotel,Excellent The reception was very polite  and told us about what there’s to see and how much it was to get to places  room was clean and very quiet   I would recommend to everyone the city was very safe to go out,5.0,2019-04-29
16,Grand Victoria Boutique Hotel,Excellent ,5.0,2019-04-29
17,Grand Victoria Boutique Hotel,Excellent charming hotel - we would definitely stay there again,5.0,2019-02-21
