,fecha_view,tipo,sitio_web,nombre_id,precio,puntuacion,direccion,descripccion,ciudad,n_habitaciones
0,2022-10-31,hotel,https://www.expedia.com///Loja-Hotels-Romar-Royal-Hotel.h18741329.Hotel-Information?chkin=2022-11-02&chkout=2022-11-03&x_pwa=1&rfrr=HSR&pwa_ts=1667277853312&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=true&rm1=a2&regionId=2113&destination=Loja%2C+Loja%2C+Loja+Province%2C+Ecuador&destType=MARKET&sort=RECOMMENDED&top_dp=80&top_cur=USD&userIntent=&selectedRoomType=202030276&selectedRatePlan=210402088,Oro Verde Loja,80,4.8,"Jose Antonio Eguiguren y 18, de Noviembre, Loja, 110108",More travel,loja,2
1,2022-10-31,hotel,https://www.expedia.com///Loja-Hotels-Grand-Victoria-Boutique-Hotel.h3908739.Hotel-Information?chkin=2022-11-02&chkout=2022-11-03&x_pwa=1&rfrr=HSR&pwa_ts=1667277853309&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=true&rm1=a2&regionId=2113&destination=Loja%2C+Loja%2C+Loja+Province%2C+Ecuador&destType=MARKET&sort=RECOMMENDED&top_dp=75&top_cur=USD&userIntent=&selectedRoomType=200843508&selectedRatePlan=208772214,Grand Victoria Boutique Hotel,75,4.3,"Bernardo Valdivieso 0650 y JA Eguiguren, Loja, Loja, 907",More travel,loja,2
2,2022-10-31,hotel,https://www.expedia.com///Loja-Hotels-Sonesta-Hotel-Loja.h2494907.Hotel-Information?chkin=2022-11-02&chkout=2022-11-03&x_pwa=1&rfrr=HSR&pwa_ts=1667277853309&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=true&rm1=a2&regionId=2113&destination=Loja%2C+Loja%2C+Loja+Province%2C+Ecuador&destType=MARKET&sort=RECOMMENDED&top_dp=120&top_cur=USD&userIntent=&selectedRoomType=212105747&selectedRatePlan=234125682,Sonesta Hotel Loja,120,4.5,"Av Zoilo Rodriguez, Loja, Loja",More travel,loja,2
3,2022-10-31,hotel,https://www.expedia.com///Loja-Hotels-HOTEL-PODOCARPUS.h17059073.Hotel-Information?chkin=2022-11-02&chkout=2022-11-03&x_pwa=1&rfrr=HSR&pwa_ts=1667277853309&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=true&rm1=a2&regionId=2113&destination=Loja%2C+Loja%2C+Loja+Province%2C+Ecuador&destType=MARKET&sort=RECOMMENDED&top_dp=39&top_cur=USD&userIntent=&selectedRoomType=201798380&selectedRatePlan=209148310,Hotel Podocarpus,39,4.1,"Jose A. Eguiguren 16-50 entre 18 de, Noviembre, y Av. Univ. Loja, Loja",More travel,loja,2
4,2022-10-31,hotel,https://www.expedia.com///Loja-Hotels-Hotel-Libertador.h13380150.Hotel-Information?chkin=2022-11-02&chkout=2022-11-03&x_pwa=1&rfrr=HSR&pwa_ts=1667277853309&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=true&rm1=a2&regionId=2113&destination=Loja%2C+Loja%2C+Loja+Province%2C+Ecuador&destType=MARKET&sort=RECOMMENDED&top_dp=56&top_cur=USD&userIntent=&selectedRoomType=201484021&selectedRatePlan=207407841,Hotel Libertador,56,3.9,"Colón 14-30 y Bolívar, Loja, EC110101",More travel,loja,2
5,2022-10-31,hotel,https://www.expedia.com///Loja-Hotels-Zamorano-Real-Hotel.h5103706.Hotel-Information?chkin=2022-11-02&chkout=2022-11-03&x_pwa=1&rfrr=HSR&pwa_ts=1667277853309&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=true&rm1=a2&regionId=2113&destination=Loja%2C+Loja%2C+Loja+Province%2C+Ecuador&destType=MARKET&sort=RECOMMENDED&top_dp=63&top_cur=USD&userIntent=&selectedRoomType=200796036&selectedRatePlan=211318188,Zamorano Real Hotel,63,4.2,"Miguel Riofrio 14-62, E/Sucre y Bolivar, Loja, Loja, 110101",More travel,loja,2
6,2022-10-31,hotel,https://www.expedia.com///Loja-Hotels-Hosteria-Paraiso.h57349829.Hotel-Information?chkin=2022-11-02&chkout=2022-11-03&x_pwa=1&rfrr=HSR&pwa_ts=1667277853310&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=true&rm1=a2&regionId=2113&destination=Loja%2C+Loja%2C+Loja+Province%2C+Ecuador&destType=MARKET&sort=RECOMMENDED&top_dp=85&top_cur=USD&userIntent=&selectedRoomType=227743422&selectedRatePlan=258374192,Hostería Paraíso,67,4.8,"Av. Eterna Juventud, Vilcabamba, Loja, 110119",More travel,loja,2
7,2022-10-31,hotel,https://www.expedia.com///Zamora-Hotels-Hotel-Samuria.h57918221.Hotel-Information?chkin=2022-11-02&chkout=2022-11-03&x_pwa=1&rfrr=HSR&pwa_ts=1667277853311&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=true&rm1=a2&regionId=2113&destination=Loja%2C+Loja%2C+Loja+Province%2C+Ecuador&destType=MARKET&sort=RECOMMENDED&top_dp=47&top_cur=USD&userIntent=&selectedRoomType=225906586&selectedRatePlan=246290167,Hotel Samuria,47,4.0,"24 de Mayo, Zamora, Zamora-Chinchipe",More travel,loja,2
0,2022-10-31,hotel,https://www.expedia.com///Ambato-Hotels-Hotel-La-Kapital.h70925195.Hotel-Information?chkin=2022-11-02&chkout=2022-11-03&x_pwa=1&rfrr=HSR&pwa_ts=1667278341751&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=true&rm1=a2&regionId=6150423&destination=Ambato%2C+Tungurahua%2C+Ecuador&destType=MARKET&sort=RECOMMENDED&top_dp=137&top_cur=USD&userIntent=&selectedRoomType=315557469&selectedRatePlan=383914780,Hotel La Kapital,158,3.7,"Olmedo, Ambato, Tungurahua, 180150",More travel,ambato,2
1,2022-10-31,hotel,https://www.expedia.com///Ambato-Hotels-Hotel-Novalux.h24171692.Hotel-Information?chkin=2022-11-02&chkout=2022-11-03&x_pwa=1&rfrr=HSR&pwa_ts=1667278341750&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=true&rm1=a2&regionId=6150423&destination=Ambato%2C+Tungurahua%2C+Ecuador&destType=MARKET&sort=RECOMMENDED&top_dp=80&top_cur=USD&userIntent=&selectedRoomType=216910643&selectedRatePlan=266038566,Hotel Novalux,80,4.5,"Avenida Cevallos 15-34 y Martinez, Ambato",More travel,ambato,2
