,link,tipo,fecha_view,nombre_id,precio,direccion,puntuacion,descripcion,calficacion_tx,sitio_web,ciudad
0,https://www.tripadvisor.com///Hotel_Review-g677335-d482734-Reviews-Hotel_Ambato-Ambato_Tungurahua_Province.html,hotel,2022-10-31,Hotel Ambato,73.0,"Guayaquil 0108 y Rocafuerte, Ambato 0108 Ecuador",3.5,"Ambato Hotel is located in the heart of the city, where you can enjoy the comfort of our facilities and our excellent cuisine in a relaxed and welcoming.",Very good,https://www.tripadvisor.com///Hotel_Review-g677335-d482734-Reviews-Hotel_Ambato-Ambato_Tungurahua_Province.html,ambato
1,https://www.tripadvisor.com///Hotel_Review-g677335-d1421732-Reviews-Hotel_Emperador-Ambato_Tungurahua_Province.html,hotel,2022-10-31,Hotel Emperador,74.5,"AV. Cevallos 10-14 y Lalama Esquina, Ambato 180150 Ecuador",4.0,"HOTEL EMPEROR, the best choice for the pleasure and relaxation of domestic and foreign visitors who demand quality and taste. The ideal for the executive who needs the best rest after a hard day's work. Our hotel is located in Av. Cevallos esq. Lalama, the heart of Ambato and area of greatest business and commercial development of the city. The perfect combination of our spacious bathrooms, well acclimated, warm and welcoming modern design, and our personalized attention, providing services of international quality, backed by a team of highly trained professionals, they will provide maximum comfort and satisfaction to stay in Ambato.",Very good,https://www.tripadvisor.com///Hotel_Review-g677335-d1421732-Reviews-Hotel_Emperador-Ambato_Tungurahua_Province.html,ambato
2,https://www.tripadvisor.com///Hotel_Review-g677335-d7804138-Reviews-Hotel_Florida-Ambato_Tungurahua_Province.html,hotel,2022-10-31,Hotel Florida,77.0,"Av. Miraflores 11-31 Frente Al Colegio La Inmaculada, Ambato 180150 Ecuador",4.0,,Very good,https://www.tripadvisor.com///Hotel_Review-g677335-d7804138-Reviews-Hotel_Florida-Ambato_Tungurahua_Province.html,ambato
3,https://www.tripadvisor.com///Hotel_Review-g677335-d2260640-Reviews-Roka_Plaza_Hotel_Boutique-Ambato_Tungurahua_Province.html,hotel,2022-10-31,Roka Plaza Hotel Boutique,86.0,"Av. Simon Bolivar 20-62 between Quito and Guayaquil, Ambato 180101 Ecuador",4.0,,Very good,https://www.tripadvisor.com///Hotel_Review-g677335-d2260640-Reviews-Roka_Plaza_Hotel_Boutique-Ambato_Tungurahua_Province.html,ambato
4,https://www.tripadvisor.com///Hotel_Review-g677335-d4542977-Reviews-Hotel_Boutique_Mary_Carmen-Ambato_Tungurahua_Province.html,hotel,2022-10-31,Hotel Boutique Mary Carmen,88.5,"Av. Cevallos y Martinez esquina Frente al parque Cevallos, Ambato 180150 Ecuador",4.0,"BOUTIQUE HOTEL MARY CARMEN ""located in the central and commercial town Jardin del Ecuador Ambato, makes your consideration our spacious and modern facilities for those who visit us enjoy doing business, or with their families for tourism and leisure. We are the first theme hotel in the center of the country that has the same first technology which meets the hotel standards worldwide, with total comfort and convenience. Our 51 suits offer comfort of excellence, with a typological decoration that provides a warm, elegant and comfortable for our guests satisfaction from environment. We look forward to this: ""Your House in Ambato""",Very good,https://www.tripadvisor.com///Hotel_Review-g677335-d4542977-Reviews-Hotel_Boutique_Mary_Carmen-Ambato_Tungurahua_Province.html,ambato
5,https://www.tripadvisor.com///Hotel_Review-g677335-d5958106-Reviews-Hotel_Versailles-Ambato_Tungurahua_Province.html,hotel,2022-10-31,Hotel Versailles,42.5,"Av. Bolivariana km 5 1/2 Via Baños Diagonal Universidad Uniandes, Ambato 180105 Ecuador",4.0,"Welcome to Versailles Hotel y Complejo, your Ambato “home away from home.” Versailles Hotel y Complejo aims to make your visit as relaxing and enjoyable as possible, which is why so many guests continue to come back year after year.Close to some of Ambato's most popular landmarks, such as Casa y Mausoleo de Juan Montalvo (1.5 mi) and La Catedral de Ambato (1.5 mi), Versailles Hotel y Complejo is a great destination for tourists.During your stay, take advantage of some of the amenities offered, including a 24 hour front desk, room service, and a sun terrace, and you can go online as Versailles Hotel y Complejo offers guests free wifi. Guests are also welcome to enjoy an on-site restaurant. For travelers arriving by car, free parking is available.If you’re looking for a cafe, consider a visit to Creme Brulee Chocolaterie, Chocolatte, or El Espigal, which are all conveniently located a short distance from Versailles Hotel y Complejo.During your visit, be sure to check out popular attractions like Juan Benigno Vela Park (0.3 mi), Cuernos de la Abundancia (0.8 mi), and Iglesia Barrio Solis (0.8 mi), which are all within walking distance of the small hotel.Versailles Hotel y Complejo puts the best of Ambato at your fingertips, making your stay both relaxing and enjoyable.",Very good,https://www.tripadvisor.com///Hotel_Review-g677335-d5958106-Reviews-Hotel_Versailles-Ambato_Tungurahua_Province.html,ambato
6,https://www.tripadvisor.com///Hotel_Review-g677335-d7369922-Reviews-Hotel_De_Las_Americas-Ambato_Tungurahua_Province.html,hotel,2022-10-31,Hotel De Las Americas,47.5,"Av. de las Americas y Colombia, Ambato 180150 Ecuador",4.0,"See why so many travelers make Hotel De Las Americas their small hotel of choice when visiting Ambato. Providing an ideal mix of value, comfort and convenience, it offers a budget friendly setting with an array of amenities designed for travelers like you.Hotel De Las Americas offers guests an array of room amenities including a sofa and a seating area, and getting online is possible, as free wifi is available.The small hotel offers a 24 hour front desk, room service, and a coffee shop, to make your visit even more pleasant. The property also features a lounge. Guests arriving by vehicle have access to free parking.While staying at Hotel De Las Americas, visitors can check out Casa y Mausoleo de Juan Montalvo (1.6 mi) and La Catedral de Ambato (1.6 mi), some of Ambato's top attractions.While in Ambato, you may want to check out some of the restaurants that are a short walk away from Hotel De Las Americas, including la Fornace (0.7 mi), El Rey del Burrito Ambato (1.0 mi), and Le Tradizioni della Nonna (0.3 mi).Looking to explore? Then look no further than Jardin Botanico Atocha-La Liria (0.7 mi), which is a popular Ambato attraction – and it is conveniently located within walking distance of the small hotel.We’re sure you’ll enjoy your stay at Hotel De Las Americas as you experience all of the things Ambato has to offer.",Very good,https://www.tripadvisor.com///Hotel_Review-g677335-d7369922-Reviews-Hotel_De_Las_Americas-Ambato_Tungurahua_Province.html,ambato
7,https://www.tripadvisor.com///Hotel_Review-g677335-d15151325-Reviews-J_E_Hotel-Ambato_Tungurahua_Province.html,hotel,2022-10-31,J&E Hotel,20.0,"Batalla de Tarqui, Ambato 180150 Ecuador",3.0,,Average,https://www.tripadvisor.com///Hotel_Review-g677335-d15151325-Reviews-J_E_Hotel-Ambato_Tungurahua_Province.html,ambato
8,https://www.tripadvisor.com///Hotel_Review-g677335-d5958106-Reviews-Hotel_Versailles-Ambato_Tungurahua_Province.html,hotel,2022-10-31,Hotel Versailles,42.5,"Av. Bolivariana km 5 1/2 Via Baños Diagonal Universidad Uniandes, Ambato 180105 Ecuador",4.0,"Welcome to Versailles Hotel y Complejo, your Ambato “home away from home.” Versailles Hotel y Complejo aims to make your visit as relaxing and enjoyable as possible, which is why so many guests continue to come back year after year.Close to some of Ambato's most popular landmarks, such as Casa y Mausoleo de Juan Montalvo (1.5 mi) and La Catedral de Ambato (1.5 mi), Versailles Hotel y Complejo is a great destination for tourists.During your stay, take advantage of some of the amenities offered, including a 24 hour front desk, room service, and a sun terrace, and you can go online as Versailles Hotel y Complejo offers guests free wifi. Guests are also welcome to enjoy an on-site restaurant. For travelers arriving by car, free parking is available.If you’re looking for a cafe, consider a visit to Creme Brulee Chocolaterie, Chocolatte, or El Espigal, which are all conveniently located a short distance from Versailles Hotel y Complejo.During your visit, be sure to check out popular attractions like Juan Benigno Vela Park (0.3 mi), Cuernos de la Abundancia (0.8 mi), and Iglesia Barrio Solis (0.8 mi), which are all within walking distance of the small hotel.Versailles Hotel y Complejo puts the best of Ambato at your fingertips, making your stay both relaxing and enjoyable.",Very good,https://www.tripadvisor.com///Hotel_Review-g677335-d5958106-Reviews-Hotel_Versailles-Ambato_Tungurahua_Province.html,ambato
9,https://www.tripadvisor.com///Hotel_Review-g677335-d1419985-Reviews-Hotel_Colony-Ambato_Tungurahua_Province.html,hotel,2022-10-31,Hotel Colony,34.5,"Av. 12 de Noviembre N. and Av. El Rey 124, Ambato 180150 Ecuador",3.0,"See why so many travelers make Hotel Colony their inn of choice when visiting Ambato. Providing an ideal mix of value, comfort and convenience, it offers a budget friendly setting with an array of amenities designed for travelers like you.Nearby landmarks such as Cuernos de la Abundancia (1.4 mi) and Iglesia Barrio Solis (1.4 mi) make Hotel Colony a great place to stay when visiting Ambato.The inn offers a 24 hour front desk and newspaper, to make your visit even more pleasant. The property also features free breakfast. Guests arriving by vehicle have access to free parking.While in Ambato, you may want to check out some of the restaurants that are a short walk away from Hotel Colony, including Ali's Parilladas & Pizzeria (1.1 mi), la Fornace (0.4 mi), and El Rey del Burrito Ambato (0.8 mi).There is no shortage of things to do in the area, and there are several great attractions that are within walking distance of Hotel Colony, including Jardin Botanico Atocha-La Liria (1.0 mi) and Juan Benigno Vela Park (1.0 mi).At Hotel Colony, your comfort and satisfaction come first, and they look forward to welcoming you to Ambato.",Average,https://www.tripadvisor.com///Hotel_Review-g677335-d1419985-Reviews-Hotel_Colony-Ambato_Tungurahua_Province.html,ambato
